Puesto,Empresa,Ubicación,Link
Joven Profesional - Tax Northamerica Europe,RIZOBACTER ARGENTINA S.A.,,https://www.bumeran.com.ar/empleos/joven-profesional-tax-northamerica-europe-rizobacter-argentina-s.a.-1117720428.html
Operador de Retenciones,X-28 Alarmas,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/operador-de-retenciones-x-28-alarmas-1117575719.html
Operador de Laboratorio,Raizen,"Avellaneda, Buenos Aires",https://www.bumeran.com.ar/empleos/operador-de-laboratorio-raizen-1117249252.html
Operador de Corte por Laser - Diseño Grafico,Actualizado hace 2 horas,"Villa Lynch, Buenos Aires",https://www.bumeran.com.ar/empleos/operador-de-corte-por-laser-diseno-grafico-egox-srl-1116911575.html
Comprador Retail,Bumeran Selecta,"Caseros, Buenos Aires",https://www.bumeran.com.ar/empleos/comprador-retail-bumeran-selecta-1116774742.html
Encargado/a de local - Turno Mañana y Tarde,Actualizado ayer,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/encargado-a-de-local-turno-manana-y-tarde-salimosfuerte-1116759362.html
Clarkista - Maquinista de Autoelevador,Confidencial,"9 de Abril, Buenos Aires",https://www.bumeran.com.ar/empleos/clarkista-maquinista-de-autoelevador-1116674695.html
Analista en Tesorería y Administración,Actualizado hace 6 horas,"General Pacheco, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-en-tesoreria-y-administracion-1117823183.html
Importante residencia privada en Acassuso busca personal retirado de las fuerzas para casero,Confidencial,"Acassuso, Buenos Aires",https://www.bumeran.com.ar/empleos/importante-residencia-privada-en-acassuso-busca-personal-retirado-de-las-fuerzas-para-casero-1117821924.html
VENDEDOR DE REVESTIMIENTOS EN LOCAL Y VENTAS ONLINE,Actualizado ayer,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/vendedor-de-revestimientos-en-local-y-ventas-online-holzboden-1116741071.html
Jefe de Operaciones,Actualizado hace 2 días,"San Isidro, Buenos Aires",https://www.bumeran.com.ar/empleos/jefe-de-operaciones-la-presumida-1117814684.html
Responsable de Comunicación y Marketing,Actualizado ayer,"La Plata, Buenos Aires",https://www.bumeran.com.ar/empleos/responsable-de-comunicacion-y-marketing-vonharv-1117810218.html
Analista en Recursos Humanos,Actualizado ayer,"Santa Fe, Santa Fe",https://www.bumeran.com.ar/empleos/analista-en-recursos-humanos-integrhal-1117807509.html
Vendedor de mostrador,Actualizado ayer,"Santa Fe, Santa Fe",https://www.bumeran.com.ar/empleos/vendedor-de-mostrador-integrhal-1117807473.html
ASISTENTE DE DISEÑO,Actualizado ayer,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/asistente-de-diseno-univista-s.a.-1117807306.html
Reclutador,Pharmexx Argentina S.A.,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/reclutador-pharmexx-argentina-s.a.-1117807227.html
Licenciado/a en Estadística o Actuario,Actualizado hace 2 horas,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/licenciado-a-en-estadistica-o-actuario-close-up-international-1117807041.html
